"car_id","car_make","car_model","car_year","car_color"
"42","BMW","Z4",2008,"PaleGreen"
"43","BMW","Z4",2009,"MediumOrchid"
"44","BMW","Z4",2021,"Thistle"
"45","BMW","Z4",2011,"DodgerBlue"
"46","Buick","Enclave",2014,"Cornsilk"
"47","Buick","Enclave",2015,"LightPink"
"48","Buick","Enclave",2012,"MediumSpringGreen"
"49","Buick","Enclave",2004,"Lime"
"50","Buick","Enclave",2002,"Azure"
"51","Buick","Enclave",2000,"SeaShell"
"52","Buick","Enclave",2008,"Navy"
"53","Buick","Enclave",2005,"BlueViolet"
"54","Buick","Enclave",2009,"DarkSlateBlue"
"55","Buick","Enclave",2022,"DarkCyan"
"56","Buick","Encore",2016,"SpringGreen"
"57","Buick","Encore",2013,"DarkMagenta"
"58","Buick","Regal",2001,"DarkGoldenRod"
"59","Buick","Regal",2020,"DarkMagenta"
"60","Buick","Regal",2010,"MediumSlateBlue"
"61","BYD","Dolphin",2022,"HotPink"
"62","BYD","Dolphin",2003,"Magenta"
"63","BYD","Dolphin",2012,"Azure"
"64","BYD","Dolphin",2007,"Khaki"
"65","BYD","Han",2020,"Turquoise"
"66","BYD","Han",2010,"SeaGreen"
"67","BYD","Han",2019,"MediumTurquoise"
"68","BYD","Han",2002,"SeaShell"
"69","BYD","Song",2003,"DarkOliveGreen"
"70","BYD","Song",2006,"LightYellow"
"71","BYD","Tang",2005,"Linen"
"72","BYD","Tang",2022,"Gainsboro"
"73","Cadillac","CT5",2011,"DarkSlateBlue"
"74","Cadillac","CT5",2012,"WhiteSmoke"
"75","Cadillac","CT5",2002,"SlateBlue"
"76","Cadillac","CT5",2006,"DarkRed"
"77","Cadillac","Escalade",2000,"LightYellow"
"78","Cadillac","Lyriq",2002,"Gainsboro"
"79","Cadillac","Lyriq",2021,"BlueViolet"
"80","Chery","Tiggo 7",2006,"Turquoise"
"81","Chery","Tiggo 7",2012,"Silver"
"82","Chery","Tiggo 7",2005,"DarkSlateBlue"
"83","Chery","Tiggo 8",2023,"Bisque"
"84","Chery","Tiggo 8",2019,"DarkGoldenRod"
"85","Chery","Tiggo 8",2024,"Plum"
"86","Chevrolet","Equinox",2022,"PeachPuff"
"87","Chevrolet","Silverado",2007,"Lavender"
"88","Chevrolet","Tahoe",2023,"SpringGreen"
"89","Chevrolet","Tahoe",2022,"PowderBlue"
"90","Chrysler","300",2009,"Tomato"
"91","Chrysler","300",2019,"DarkKhaki"
"92","Chrysler","300",2017,"Lime"
"93","Chrysler","300",2000,"DeepSkyBlue"
"94","Chrysler","Pacifica",2006,"LavenderBlush"
"95","Chrysler","Pacifica",2017,"CadetBlue"
"96","Chrysler","Pacifica",2004,"Lavender"
"97","Chrysler","Pacifica",2002,"Red"
"98","Chrysler","Pacifica",2008,"Purple"
"99","Chrysler","Pacifica",2020,"Crimson"
"100","CitroÃ«n","C3",2015,"PeachPuff"
"101","CitroÃ«n","C3",2018,"Beige"
"102","CitroÃ«n","C3",2021,"LightSeaGreen"
"103","CitroÃ«n","C4",2013,"Coral"
"104","CitroÃ«n","C4",2012,"Snow"
"105","CitroÃ«n","C4",2012,"Wheat"
"106","CitroÃ«n","C4",2000,"Orchid"
"107","CitroÃ«n","C5 Aircross",2001,"DimGray"
"108","CitroÃ«n","C5 Aircross",2004,"SpringGreen"
"109","CitroÃ«n","C5 Aircross",2014,"HotPink"
"110","Dacia","Duster",2013,"Turquoise"
"111","Dacia","Duster",2002,"BlueViolet"
"112","Dacia","Logan",2015,"Violet"
"113","Dacia","Logan",2012,"SkyBlue"
"114","Dacia","Logan",2003,"Orange"
"115","Dacia","Logan",2003,"SaddleBrown"
"116","Dacia","Logan",2015,"LightSlateGray"
"117","Dodge","Challenger",2015,"LightSeaGreen"
"118","Dodge","Charger",2008,"DarkMagenta"
"119","Dodge","Durango",2010,"SaddleBrown"
"120","Dodge","Ram 1500",2024,"Aqua"
"121","Dodge","Ram 1500",2005,"GoldenRod"
"122","Dodge","Ram 1500",2005,"Gray"
"123","Dodge","Ram 1500",2011,"CornflowerBlue"
"124","Dodge","Ram 1500",2013,"DarkMagenta"
"125","Dodge","Ram 1500",2015,"MintCream"
"126","Dodge","Ram 1500",2006,"DarkTurquoise"
"127","Ferrari","488",2019,"Orchid"
"128","Ferrari","488",2007,"MediumSeaGreen"
"129","Ferrari","488",2024,"SaddleBrown"
"130","Ferrari","Portofino",2024,"DarkOrange"
"131","Ferrari","Portofino",2015,"Maroon"
"132","Ferrari","Portofino",2020,"Gold"
"133","Ferrari","Portofino",2008,"Tomato"
"134","Ferrari","Portofino",2004,"SlateBlue"
"135","Ferrari","Portofino",2014,"PaleGreen"
"136","Ferrari","Roma",2002,"MediumPurple"
"137","Ferrari","Roma",2010,"Linen"
"138","Fiat","500",2009,"CadetBlue"
"139","Fiat","Doblo",2004,"PowderBlue"
"140","Fiat","Doblo",2019,"CadetBlue"
"141","Fiat","Doblo",2002,"Lavender"
"142","Fiat","Doblo",2013,"DarkViolet"
"143","Fiat","Doblo",2001,"Pink"
"144","Fiat","Doblo",2023,"DarkGreen"
"145","Fiat","Panda",2008,"IndianRed"
"146","Fiat","Panda",2016,"DeepPink"
"147","Fiat","Panda",2006,"DarkGreen"
"148","Fiat","Panda",2021,"GreenYellow"
"149","Fiat","Panda",2001,"OliveDrab"
"150","Fiat","Tipo",2022,"Teal"
"151","Fiat","Tipo",2017,"Silver"
"152","Ford","Edge",2022,"Chocolate"
"153","Ford","Edge",2006,"DimGray"
"154","Ford","Escape",2011,"LightYellow"
"155","Ford","Escape",2006,"DodgerBlue"
"156","Ford","Explorer",2016,"AntiqueWhite"
"157","Ford","Explorer",2000,"SlateGray"
"158","Ford","Explorer",2005,"MidnightBlue"
"159","Ford","F-150",2022,"LightGoldenRodYellow"
"160","Ford","F-150",2017,"PaleGreen"
"161","Ford","F-150",2012,"Ivory"
"162","Ford","Mustang",2013,"GhostWhite"
"163","Ford","Mustang",2014,"DarkCyan"
"164","Geely","Azkarra",2017,"PaleGreen"
"165","Geely","Coolray",2014,"MediumSpringGreen"
"166","Geely","Coolray",2022,"Aqua"
"167","Geely","Coolray",2015,"Cyan"
"168","Geely","Emgrand",2011,"Thistle"
"169","Genesis","G70",2024,"Orchid"
"170","Genesis","G70",2024,"Chartreuse"
"171","Genesis","G70",2000,"RosyBrown"
"172","Genesis","G70",2015,"MediumAquaMarine"
"173","Genesis","G80",2010,"Olive"
"174","Genesis","G80",2005,"PaleGreen"
"175","Genesis","GV70",2004,"SteelBlue"
"176","Genesis","GV70",2000,"FloralWhite"
"177","Genesis","GV70",2006,"LightCoral"
"178","Genesis","GV70",2014,"LightGray"
"179","Genesis","GV70",2009,"ForestGreen"
"180","Genesis","GV80",2016,"DarkGoldenRod"
"181","Genesis","GV80",2012,"MediumSlateBlue"
"182","Genesis","GV80",2012,"SandyBrown"
"183","Genesis","GV80",2014,"DeepPink"
"184","Genesis","GV80",2016,"White"
"185","GMC","Canyon",2023,"Fuchsia"
"186","GMC","Sierra",2007,"Violet"
"187","GMC","Sierra",2002,"DeepSkyBlue"
"188","GMC","Sierra",2010,"MediumSeaGreen"
"189","GMC","Terrain",2024,"Cyan"
"190","GMC","Terrain",2000,"Olive"
"191","GMC","Terrain",2018,"Silver"
"192","Great Wall","Haval H6",2000,"White"
"193","Great Wall","Haval H6",2005,"SeaGreen"
"194","Great Wall","Wingle 7",2022,"Beige"
"195","Great Wall","Wingle 7",2016,"LimeGreen"
"196","Great Wall","Wingle 7",2000,"DeepPink"
"197","Great Wall","Wingle 7",2006,"FloralWhite"
"198","Great Wall","Wingle 7",2019,"SandyBrown"
"199","Great Wall","Wingle 7",2003,"DarkOrange"
"200","Great Wall","Wingle 7",2003,"MediumPurple"
"201","Great Wall","Wingle 7",2006,"Tomato"
"202","Honda","Accord",2022,"Salmon"
"203","Honda","CR-V",2019,"LightYellow"
"204","Honda","CR-V",2009,"SkyBlue"
"205","Honda","Odyssey",2003,"LightGreen"
"206","Honda","Odyssey",2024,"Salmon"
"207","Honda","Pilot",2012,"HoneyDew"
"208","Hyundai","Accent",2013,"BlanchedAlmond"
"209","Hyundai","Accent",2008,"CadetBlue"
"210","Hyundai","Elantra",2002,"FireBrick"
"211","Hyundai","Santa Fe",2014,"Navy"
"212","Hyundai","Sonata",2024,"Beige"
"213","Infiniti","Q50",2012,"SkyBlue"
"214","Infiniti","Q50",2006,"DarkOrchid"
"215","Infiniti","Q50",2008,"Indigo"
"216","Infiniti","Q60",2005,"Maroon"
"217","Infiniti","QX50",2011,"Violet"
"218","Infiniti","QX50",2021,"White"
"219","Infiniti","QX60",2000,"Linen"
"220","Infiniti","QX60",2020,"Plum"
"221","Infiniti","QX80",2001,"LightSkyBlue"
"222","Infiniti","QX80",2011,"LemonChiffon"
"223","Infiniti","QX80",2019,"Pink"
"224","Infiniti","QX80",2016,"Maroon"
"225","Isuzu","D-Max",2001,"Tomato"
"226","Isuzu","D-Max",2011,"Maroon"
"227","Isuzu","D-Max",2001,"DarkOrchid"
"228","Isuzu","D-Max",2008,"CadetBlue"
"229","Isuzu","MU-X",2014,"Orange"
"230","Isuzu","MU-X",2003,"Maroon"
"231","Isuzu","MU-X",2010,"SpringGreen"
"232","Isuzu","MU-X",2008,"SeaGreen"
"233","Isuzu","MU-X",2013,"LawnGreen"
"234","Jaguar","E-PACE",2011,"SkyBlue"
"235","Jaguar","E-PACE",2010,"Bisque"
"236","Jaguar","E-PACE",2023,"Green"
"237","Jaguar","E-PACE",2022,"MistyRose"
"238","Jaguar","F-PACE",2016,"Orchid"
"239","Jaguar","F-PACE",2017,"Navy"
"240","Jaguar","F-Type",2013,"IndianRed"
"241","Jaguar","F-Type",2011,"PaleTurquoise"
"242","Jaguar","F-Type",2015,"OliveDrab"
"243","Jaguar","F-Type",2023,"Khaki"
"244","Jaguar","XE",2022,"DarkRed"
"245","Jaguar","XF",2001,"Aquamarine"
"246","Jeep","Cherokee",2010,"ForestGreen"
"247","Jeep","Cherokee",2019,"WhiteSmoke"
"248","Jeep","Compass",2008,"MintCream"
"249","Jeep","Compass",2006,"Aqua"
"250","Jeep","Grand Cherokee",2002,"LightSkyBlue"
"251","Jeep","Grand Cherokee",2011,"DarkSeaGreen"
"252","Jeep","Grand Cherokee",2019,"DarkSalmon"
"253","Jeep","Renegade",2006,"DarkSeaGreen"
"254","Jeep","Renegade",2003,"Linen"
"255","Jeep","Renegade",2022,"DarkKhaki"
"256","Jeep","Wrangler",2012,"Bisque"
"257","Kia","K5",2004,"HotPink"
"258","Kia","K5",2017,"SteelBlue"
"259","Kia","Rio",2004,"DarkTurquoise"
"260","Kia","Sorento",2010,"DimGray"
"261","Kia","Sportage",2001,"Purple"
"262","Kia","Sportage",2001,"Red"
"263","Kia","Sportage",2009,"DarkBlue"
"264","Kia","Telluride",2015,"Moccasin"
"265","Lamborghini","Aventador",2001,"LightPink"
"266","Lamborghini","Aventador",2013,"WhiteSmoke"
"267","Lamborghini","Huracan",2009,"Sienna"
"268","Lamborghini","Huracan",2017,"LightBlue"
"269","Lamborghini","Huracan",2010,"MediumSpringGreen"
"270","Lamborghini","Huracan",2022,"MistyRose"
"271","Lamborghini","Huracan",2005,"Gainsboro"
"272","Lamborghini","Urus",2011,"PaleTurquoise"
"273","Lamborghini","Urus",2002,"DarkMagenta"
"274","Lamborghini","Urus",2018,"DarkBlue"
"275","Land Rover","Defender",2002,"HotPink"
"276","Land Rover","Discovery",2007,"IndianRed"
"277","Land Rover","Evoque",2011,"SeaGreen"
"278","Land Rover","Evoque",2016,"Lavender"
"279","Land Rover","Range Rover",2004,"Pink"
"280","Lexus","ES",2014,"SkyBlue"
"281","Lexus","ES",2011,"PapayaWhip"
"282","Lexus","GX",2003,"Plum"
"283","Lexus","IS",2019,"DeepPink"
"284","Lexus","IS",2018,"MediumSlateBlue"
"285","Lexus","IS",2016,"DarkGray"
"286","Lincoln","Aviator",2014,"Azure"
"287","Lincoln","Aviator",2005,"Violet"
"288","Lincoln","Aviator",2022,"WhiteSmoke"
"289","Lincoln","Corsair",2019,"White"
"290","Lincoln","Corsair",2010,"Silver"
"291","Lincoln","Corsair",2022,"Gray"
"292","Lincoln","Navigator",2023,"LightPink"
"293","Lincoln","Navigator",2009,"Red"
"294","Mahindra","Scorpio",2015,"DodgerBlue"
"295","Mahindra","Thar",2012,"Aqua"
"296","Mahindra","Thar",2012,"WhiteSmoke"
"297","Mahindra","Thar",2009,"MediumTurquoise"
"298","Mahindra","Thar",2017,"Aquamarine"
"299","Mahindra","XUV700",2015,"CornflowerBlue"
"300","Maserati","Ghibli",2005,"DarkSlateBlue"
"301","Maserati","Ghibli",2011,"MediumTurquoise"
"302","Maserati","Ghibli",2022,"SkyBlue"
"303","Maserati","Ghibli",2015,"LightSkyBlue"
"304","Maserati","Levante",2018,"Salmon"
"305","Maserati","Levante",2020,"LightGray"
"306","Maserati","Levante",2020,"LightSkyBlue"
"307","Maserati","Quattroporte",2010,"Linen"
"308","Maserati","Quattroporte",2018,"Indigo"
"309","Maserati","Quattroporte",2020,"Green"
"310","Maserati","Quattroporte",2007,"PapayaWhip"
"311","Mazda","CX-5",2021,"SteelBlue"
"312","Mazda","CX-5",2002,"Crimson"
"313","Mazda","CX-5",2020,"MediumSpringGreen"
"314","Mazda","CX-5",2007,"DarkMagenta"
"315","Mazda","CX-5",2000,"PeachPuff"
"316","Mazda","CX-5",2024,"Crimson"
"317","Mazda","CX-9",2005,"Salmon"
"318","Mazda","CX-9",2004,"HotPink"
"319","Mazda","CX-9",2020,"SpringGreen"
"320","Mazda","Mazda3",2003,"YellowGreen"
"321","Mazda","Mazda3",2013,"White"
"322","Mazda","Mazda6",2011,"DarkSlateGray"
"323","Mazda","Mazda6",2003,"Gainsboro"
"324","Mazda","MX-5 Miata",2014,"DarkOliveGreen"
"325","Mazda","MX-5 Miata",2016,"Brown"
"326","Mazda","MX-5 Miata",2020,"Gray"
"327","Mercedes-Benz","A-Class",2004,"MidnightBlue"
"328","Mercedes-Benz","C-Class",2010,"MediumTurquoise"
"329","Mercedes-Benz","E-Class",2002,"Azure"
"330","Mercedes-Benz","GLE",2000,"Yellow"
"331","Mercedes-Benz","GLE",2004,"YellowGreen"
"332","Mini","Clubman",2002,"LightSeaGreen"
"333","Mini","Clubman",2024,"MediumVioletRed"
"334","Mini","Clubman",2008,"Black"
"335","Mini","Cooper",2017,"DarkGray"
"336","Mini","Cooper",2002,"LightGreen"
"337","Mini","Countryman",2009,"PaleVioletRed"
"338","Mini","Countryman",2024,"MintCream"
"339","Mini","Countryman",2013,"OliveDrab"
"340","Mitsubishi","Eclipse Cross",2014,"Ivory"
"341","Mitsubishi","Eclipse Cross",2017,"IndianRed"
"342","Mitsubishi","Eclipse Cross",2021,"MediumPurple"
"343","Mitsubishi","Eclipse Cross",2013,"HoneyDew"
"344","Mitsubishi","Eclipse Cross",2011,"LimeGreen"
"345","Mitsubishi","Outlander",2020,"MintCream"
"346","Mitsubishi","Outlander",2011,"HoneyDew"
"347","Mitsubishi","Outlander",2022,"MediumOrchid"
"348","Mitsubishi","Outlander",2007,"Brown"
"349","Mitsubishi","Outlander",2021,"Aquamarine"
"350","Mitsubishi","Pajero",2001,"LightSlateGray"
"351","Mitsubishi","Pajero",2022,"Plum"
"352","Mitsubishi","Pajero",2005,"LightPink"
"353","Mitsubishi","Pajero",2005,"Plum"
"354","Mitsubishi","Pajero",2014,"SkyBlue"
"355","Nissan","Altima",2010,"LawnGreen"
"356","Nissan","Murano",2005,"NavajoWhite"
"357","Nissan","Pathfinder",2012,"Snow"
"358","Nissan","Pathfinder",2008,"PaleGoldenRod"
"359","Nissan","Rogue",2021,"DarkSalmon"
"360","Nissan","Rogue",2016,"Aquamarine"
"361","Nissan","Sentra",2019,"DarkSalmon"
"362","Nissan","Sentra",2003,"DodgerBlue"
"363","Nissan","Sentra",2005,"DarkKhaki"
"364","Nissan","Sentra",2021,"SeaGreen"
"365","Nissan","Titan",2005,"Chocolate"
"366","Nissan","Titan",2001,"DarkSlateBlue"
"367","Perodua","Ativa",2017,"DeepSkyBlue"
"368","Perodua","Ativa",2000,"Silver"
"369","Perodua","Ativa",2022,"Tan"
"370","Perodua","Ativa",2006,"Linen"
"371","Perodua","Axia",2021,"DarkSeaGreen"
"372","Perodua","Axia",2016,"MediumSpringGreen"
"373","Perodua","Myvi",2019,"Orchid"
"374","Peugeot","208",2014,"AntiqueWhite"
"375","Peugeot","208",2010,"Aquamarine"
"376","Peugeot","308",2013,"Chocolate"
"377","Peugeot","308",2024,"Maroon"
"378","Peugeot","308",2002,"Tan"
"379","Peugeot","5008",2007,"Tan"
"380","Peugeot","508",2014,"Chocolate"
"381","Porsche","911",2018,"Cyan"
"382","Porsche","911",2006,"Gainsboro"
"383","Porsche","Cayenne",2015,"DarkKhaki"
"384","Porsche","Cayenne",2002,"SpringGreen"
"385","Porsche","Cayenne",2012,"LightSalmon"
"386","Porsche","Cayenne",2008,"Moccasin"
"387","Porsche","Macan",2009,"DarkRed"
"388","Porsche","Panamera",2017,"SteelBlue"
"389","Porsche","Panamera",2007,"SandyBrown"
"390","Porsche","Panamera",2004,"MediumAquaMarine"
"391","Porsche","Panamera",2006,"MidnightBlue"
"392","Porsche","Taycan",2010,"Snow"
"393","Porsche","Taycan",2022,"GoldenRod"
"394","Proton","Saga",2003,"Green"
"395","Proton","X70",2001,"MediumAquaMarine"
"396","Proton","X70",2007,"PaleTurquoise"
"397","Proton","X70",2004,"DarkBlue"
"398","Proton","X70",2022,"Ivory"
"399","Renault","Captur",2006,"NavajoWhite"
"400","Renault","Kadjar",2000,"BurlyWood"
"401","Renault","Megane",2017,"HotPink"
"402","Renault","Megane",2003,"WhiteSmoke"
"403","Renault","Talisman",2001,"Bisque"
"404","Renault","Talisman",2019,"DeepPink"
"405","Rolls-Royce","Cullinan",2007,"DarkGoldenRod"
"406","Rolls-Royce","Cullinan",2023,"SlateGray"
"407","Rolls-Royce","Cullinan",2009,"YellowGreen"
"408","Rolls-Royce","Ghost",2005,"Maroon"
"409","Rolls-Royce","Phantom",2020,"DarkGreen"
"410","Rolls-Royce","Phantom",2009,"LightGreen"
"411","Rolls-Royce","Phantom",2007,"HoneyDew"
"412","Rolls-Royce","Phantom",2003,"DarkCyan"
"413","Rolls-Royce","Phantom",2005,"Tomato"
"414","Rolls-Royce","Phantom",2000,"DarkSlateBlue"
"415","Saab","9-3",2021,"OliveDrab"
"416","Saab","9-3",2023,"MediumOrchid"
"417","Saab","9-3",2017,"MidnightBlue"
"418","Saab","9-3",2006,"Gainsboro"
"419","Saab","9-3",2008,"OrangeRed"
"420","Saab","9-3",2002,"Bisque"
"421","Saab","9-3",2004,"LightGreen"
"422","Saab","9-5",2006,"GreenYellow"
"423","Saab","9-5",2017,"DarkSalmon"
"424","Seat","Ateca",2018,"Tomato"
"425","Seat","Ateca",2001,"Gray"
"426","Seat","Ateca",2016,"Aquamarine"
"427","Seat","Ateca",2021,"LightGray"
"428","Seat","Ateca",2017,"GhostWhite"
"429","Seat","Ateca",2016,"OldLace"
"430","Seat","Ateca",2009,"DarkSalmon"
"431","Seat","Ibiza",2020,"Green"
"432","Seat","Leon",2019,"Black"
"433","Seat","Tarraco",2007,"DarkBlue"
"434","Seat","Tarraco",2012,"Linen"
"435","Seat","Tarraco",2020,"Lime"
"436","Skoda","Karoq",2012,"Bisque"
"437","Skoda","Kodiaq",2008,"CornflowerBlue"
"438","Skoda","Octavia",2007,"Lime"
"439","Skoda","Octavia",2022,"Coral"
"440","Skoda","Superb",2015,"MediumSeaGreen"
"441","Skoda","Superb",2004,"AntiqueWhite"
"442","Subaru","Crosstrek",2000,"Olive"
"443","Subaru","Crosstrek",2012,"Purple"
"444","Subaru","Forester",2001,"Indigo"
"445","Subaru","Forester",2016,"Peru"
"446","Subaru","Forester",2002,"White"
"447","Subaru","Forester",2014,"PaleGreen"
"448","Subaru","Legacy",2018,"Beige"
"449","Subaru","Legacy",2010,"LightSlateGray"
"450","Subaru","Legacy",2001,"MediumPurple"
"451","Subaru","Outback",2002,"Indigo"
"452","Subaru","Outback",2003,"Aquamarine"
"453","Suzuki","Baleno",2009,"Salmon"
"454","Suzuki","Jimny",2002,"Indigo"
"455","Suzuki","Jimny",2007,"LightYellow"
"456","Suzuki","Swift",2024,"DarkSlateGray"
"457","Suzuki","Swift",2015,"Yellow"
"458","Suzuki","Swift",2004,"LightGreen"
"459","Suzuki","Vitara",2010,"LightBlue"
"460","Suzuki","Vitara",2007,"OrangeRed"
"461","Suzuki","Vitara",2014,"DarkOrchid"
"462","Suzuki","Vitara",2022,"Green"
"463","Tata","Harrier",2013,"NavajoWhite"
"464","Tata","Harrier",2024,"RoyalBlue"
"465","Tata","Harrier",2001,"HotPink"
"466","Tata","Nexon",2005,"LightSalmon"
"467","Tata","Safari",2003,"Wheat"
"468","Tata","Safari",2016,"Moccasin"
"469","Tata","Safari",2015,"SkyBlue"
"470","Tesla","Cybertruck",2016,"DarkGreen"
"471","Tesla","Cybertruck",2008,"PaleTurquoise"
"472","Tesla","Cybertruck",2020,"SkyBlue"
"473","Tesla","Cybertruck",2018,"ForestGreen"
"474","Tesla","Model 3",2013,"LightSalmon"
"475","Tesla","Model X",2018,"Thistle"
"476","Tesla","Model Y",2002,"CornflowerBlue"
"477","Toyota","Camry",2012,"LightSalmon"
"478","Toyota","Highlander",2015,"Cyan"
"479","Toyota","Land Cruiser",2018,"MediumTurquoise"
"480","Toyota","Tacoma",2024,"DarkOrange"
"481","Volkswagen","Golf",2016,"Navy"
"482","Volkswagen","ID.4",2016,"SaddleBrown"
"483","Volkswagen","Jetta",2017,"Indigo"
"484","Volkswagen","Jetta",2023,"LightSeaGreen"
"485","Volkswagen","Jetta",2017,"PaleVioletRed"
"486","Volkswagen","Passat",2019,"DodgerBlue"
"487","Volkswagen","Passat",2000,"LightCyan"
"488","Volkswagen","Tiguan",2009,"Blue"
"489","Volkswagen","Touareg",2007,"DarkGoldenRod"
"490","Volkswagen","Touareg",2024,"BlanchedAlmond"
"491","Volvo","S60",2020,"CornflowerBlue"
"492","Volvo","S60",2000,"Turquoise"
"493","Volvo","S60",2023,"PaleTurquoise"
"494","Volvo","S60",2010,"LightGoldenRodYellow"
"495","Volvo","S90",2000,"SeaGreen"
"496","Volvo","XC40",2021,"Tomato"
"497","Volvo","XC40",2006,"SpringGreen"
"498","Volvo","XC40",2007,"IndianRed"
"499","Volvo","XC60",2018,"LightCyan"
"500","Volvo","XC60",2021,"DarkRed"
